Name,Price,24H Change,24H Volume,Market Cap
Bitcoin,"$17,068.84",+0.52%,$37.37 B,$322.32 B
Ethereum,"$1,261.62",+0.10%,$11.96 B,$152.14 B
Tether,$1.01,+0.01%,$49.18 B,$65.98 B
BNB,$282.70,-0.25%,$1.15 B,$44.15 B
USD Coin,$1.00,+0.01%,$3.22 B,$44.41 B
Binance USD,$0.9999,-0.00%,$8.23 B,$23.18 B
XRP,$0.3902,+10.50%,$2.31 B,$19.12 B
Cardano,$0.3437,+2.28%,$322.19 M,$11.54 B
Dogecoin,$0.08779,+0.58%,$669.15 M,$11.42 B
Polygon,$0.9622,+2.70%,$676.59 M,$8.24 B
Polkadot,$6.04,+2.78%,$164.89 M,$6.74 B
Dai,$1.01,-0.31%,$335.59 M,$5.89 B
HEX,$0.0333,+1.37%,$3.76 M,$5.78 B
Solana,$14.96,+3.06%,$889.28 M,$5.15 B
Wrapped TRON,$0.05081,+3.46%,$8.53 M,$5.17 B
Shiba Inu,$0.000009337,+2.07%,$186.84 M,$5.06 B
Uniswap,$6.45,+5.11%,$186.84 M,$4.8 B
TRON,$0.05024,+2.98%,$502.88 M,$4.63 B
Lido stETH,"$1,227.78",+0.03%,"$323,988",$4.28 B
Litecoin,$59.51,+2.73%,$582.99 M,$4.17 B
Avalanche,$13.78,+2.76%,$158.52 M,$4.05 B
Wrapped Bitcoin,"$17,121.22",+0.96%,$110.35 M,$3.98 B
UNUS SED LEO,$3.74,-0.13%,$4.16 M,$3.57 B
Chainlink,$6.49,+3.75%,$377.37 M,$3.14 B
Cosmos,$10.77,+2.26%,$155.35 M,$3.02 B
Ethereum Classic,$20.79,+0.97%,$232.92 M,$2.81 B
Stellar,$0.09413,+5.40%,$100.72 M,$2.37 B
Monero,$128.75,+0.10%,$68.87 M,$2.34 B
Toncoin,$1.65,-1.35%,$8.67 M,$2.02 B
Bitcoin Cash,$105.45,+1.06%,$225.58 M,$1.99 B
Algorand,$0.2797,+7.20%,$181.34 M,$1.94 B
Cronos,$0.07499,+8.04%,$102.32 M,$1.84 B
Bitcoin BEP2,"$16,899.55",+2.16%,$14.15 M,$1.78 B
NEAR Protocol,$2.01,+2.20%,$100.88 M,$1.64 B
Quant,$121.56,+9.44%,$105.77 M,$1.43 B
VeChain,$0.02163,+3.68%,$56.37 M,$1.43 B
Filecoin,$4.46,+1.17%,$115.09 M,$1.39 B
Chiliz,$0.2188,+10.65%,$604.76 M,$1.3 B
Flow,$1.26,+4.68%,$26.63 M,$1.29 B
Frax,$0.9924,+0.29%,$5.6 M,$1.17 B
OKB,$18.83,+2.20%,$15.39 M,$1.13 B
Hedera,$0.05136,+3.63%,$27.12 M,$1.12 B
Internet Computer,$4.06,+1.77%,$32.02 M,$1.09 B
Luna Classic,$0.0002003,+6.00%,$147.84 M,$1.09 B
Chain,$0.0505,+2.60%,$11.46 M,$1.08 B
Wrapped BNB,$277.70,+0.51%,$166.98 M,$1.06 B
Elrond,$44.34,-1.42%,$26.74 M,$1.03 B
EOS,$0.9467,+3.09%,$134.72 M,$996.67 M
Tezos,$1.04,+1.16%,$18.75 M,$932.34 M
Pax Dollar,$1.00,-0.04%,$3.83 M,$948.85 M
